eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;5.2518;58.3538;58.3538;
comp 2;2.0881;23.201;81.5548;
comp 3;0.6578;7.3087;88.8634;
comp 4;0.3872;4.302;93.1655;
comp 5;0.27;3.0002;96.1656;
comp 6;0.1614;1.7928;97.9584;
comp 7;0.1466;1.6287;99.5871;
comp 8;0.0372;0.4129;100;
comp 9;0;0;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
;-0.2117;-0.2394;-0.5244;0.9797;0.5641;
;0.3152;-0.6699;-1.1051;-0.9494;0.0544;
;0.976;1.4197;-2.326;0.9905;0.7324;
;2.2661;1.7851;0.3029;0.2295;-0.3197;
;0.7001;-1.8289;-0.1504;-0.8482;0.0527;
;0.6241;-1.1729;0.8055;-0.1925;0.371;
;1.5765;1.266;1.2116;1.2937;1.1986;
;1.5744;1.1009;-0.4109;-0.3123;-2.5017;
;0.13;-1.1441;0.6652;1.5782;0.7699;
;0.7735;0.6212;1.6028;0.0292;-2.9487;
;1.213;-0.5925;-0.0388;-1.2542;0.6791;
;0.5;-2.4664;1.3601;-0.4443;-0.8183;
;1.2665;-0.5152;-1.2371;-1.9729;1.8212;
;0;0.6132;1.7537;1.363;1.2321;
;0.4446;-0.3371;0.0096;-0.0338;0.8068;
;0.0347;0.7451;-1.2893;0.1811;-0.1699;
;-0.993;0.6989;0.1575;-0.1165;0.7964;
;-1.4312;1.2231;0.7449;-2.2775;-0.2112;
;-1.4386;1.2969;1.4528;-1.6556;0.2728;
;-0.9531;0.1209;0.3996;0.3392;0.1851;
;-0.7247;0.2139;1.1935;0.7807;1.0795;
;-1.1361;1.0937;0.1303;-1.1961;0.6007;

V
   ;
;-0.2777;0.4195;-0.523;0.1717;-0.024;
;-0.3939;0.2583;-0.2053;-0.0153;0.0024;
;0.3939;-0.2583;0.2053;0.0153;-0.0024;
;0.3836;-0.0342;-0.4561;-0.0749;0.3138;
;0.3502;0.3277;-0.0807;-0.0224;-0.3585;
;0.2555;0.4516;0.2368;0.4066;0.6718;
;0.3047;0.4063;0.1747;0.2788;-0.5525;
;-0.2606;0.3944;0.5387;-0.4754;0.1042;
;-0.3418;-0.2398;0.2255;0.7035;-0.071;

