Sample,,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,number,Data File,Acq. Date-Time,Type,Level,Sample Name,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2571.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2651.99 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 638.54 is outside the allowed range [80.00, 120.00]",FALSE,25,023SMPL.d,16/11/2023 12:26,Sample,,0-90-T,241415.81,1.7,675683.27,2.4,18505157.64,1.3,482050.75,2.2,5504.07,2.4,69623.44,0.9,599584.25,2.1,4874.45,4.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2693.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2788.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 623.24 is outside the allowed range [80.00, 120.00]",FALSE,26,024SMPL.d,16/11/2023 12:27,Sample,,0-100-T,143570.18,0.9,1602179.87,2,11314747.33,1.2,292973.7,1,3232.04,1.6,72926.19,1.5,630367.96,1.2,4757.67,10.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2874.67 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2937.20 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 647.29 is outside the allowed range [80.00, 120.00]",FALSE,27,025SMPL.d,16/11/2023 12:29,Sample,,0-10-B,768789.44,0.7,1347252.22,1.9,15709529.77,1.1,409028.99,1.1,9727.64,2,77818.2,2,664066.34,0.9,4941.3,9.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2882.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2970.87 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 597.55 is outside the allowed range [80.00, 120.00]",FALSE,28,026SMPL.d,16/11/2023 12:30,Sample,,blk ,2595.9,2.3,910.06,7.2,73514.63,2.8,2176.9,1.4,37.67,10.7,78029.21,3.8,671680.2,4.2,4561.59,7.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3023.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3111.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 591.79 is outside the allowed range [80.00, 120.00]",FALSE,29,027SMPL.d,16/11/2023 12:32,Sample,,100 ppb check,47533.62,1.3,982640.22,1.3,1601132.48,2.1,40567.76,1.9,262344.45,1.5,81843.4,3.7,703381.97,1.3,4517.61,2.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3163.18 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3278.17 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 805.30 is outside the allowed range [80.00, 120.00]",FALSE,30,028SMPL.d,16/11/2023 12:34,Sample,,0-50-T,50963.11,0.2,73942.18,3.4,4085948.06,0.5,103343.92,1.4,956.04,2.4,85628.41,1.9,741157.72,2.1,6147.5,16.2
"55  Mn  [ He ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3302.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3396.95 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 701.44 is outside the allowed range [80.00, 120.00]",FALSE,31,029SMPL.d,16/11/2023 12:35,Sample,,0-60-B,94534.26,0.3,25406.39,6.2,1607634.56,0.4,40931.97,1.3,1599.1,1.8,89397.19,3,768011.5,2.6,5354.66,1.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3444.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3578.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 752.54 is outside the allowed range [80.00, 120.00]",FALSE,32,030SMPL.d,16/11/2023 12:37,Sample,,0-100-B,120450.97,1,795398.92,3.3,7774978.84,0.5,202763.9,0.5,1733.11,1.4,93241.1,2.6,809082.57,3.4,5744.76,6.2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3420.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3638.38 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 721.53 is outside the allowed range [80.00, 120.00]",FALSE,33,031SMPL.d,16/11/2023 12:39,Sample,,0-70-B,30521.31,1.6,28131.54,3.2,485914.6,3.9,12789.41,3.4,679.35,4.1,92600.92,2.2,822596.97,2.2,5508.05,5.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3707.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3799.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 782.70 is outside the allowed range [80.00, 120.00]",FALSE,34,032SMPL.d,16/11/2023 12:40,Sample,,20-100-T,250119.96,1.4,1109670.17,1.9,8791549.87,1.4,227278.2,2.3,5747.16,0.7,100370.84,2.6,859080.14,3.1,5974.95,4.2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3853.24 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3962.39 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 870.51 is outside the allowed range [80.00, 120.00]",FALSE,35,033SMPL.d,16/11/2023 12:42,Sample,,20-80-T,218508.67,0.3,241642.72,3.1,9305723.82,1.1,242456.83,0.9,5426.04,0.4,104308.38,4.2,895850.9,3,6645.27,5.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4028.42 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4159.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 908.52 is outside the allowed range [80.00, 120.00]",FALSE,36,034SMPL.d,16/11/2023 12:43,Sample,,20-30-B,228408.43,0.8,941214.41,3,12653300.23,0.5,326773.74,0.8,12727.99,1.4,109050.73,2.8,940440.27,3.5,6935.45,3.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4145.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4277.49 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.05 is outside the allowed range [80.00, 120.00]",FALSE,37,035SMPL.d,16/11/2023 12:45,Sample,,20-70-T,211030.94,0.3,990565.4,1.8,12017286.07,0.8,310379.22,0.5,3822.18,1.3,112226.79,2.5,967091.39,3.5,6695.25,3.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4216.97 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4291.13 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 859.16 is outside the allowed range [80.00, 120.00]",FALSE,38,036SMPL.d,16/11/2023 12:47,Sample,,20-60-T,150605.3,0.3,710318.66,2.3,11274821.08,0.2,289814.81,0.6,9102.23,0.6,114154.89,4.2,970176.49,3.4,6558.62,6.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4913.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5096.65 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1057.18 is outside the allowed range [80.00, 120.00]",FALSE,39,037SMPL.d,16/11/2023 13:01,Sample,,20-90-B,253590.49,1.3,355340.85,2.8,5268141.48,1.1,137848.43,1.9,3088.67,2.3,133009.35,3.4,1152294.72,3.1,8070.27,11.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4908.89 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5123.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1284.40 is outside the allowed range [80.00, 120.00]",FALSE,40,038SMPL.d,16/11/2023 13:02,Sample,,blk ,2078.15,5.8,1013.4,10.6,71993.01,2.8,2033.54,6.6,26,3.8,132885.17,4.1,1158292.53,3.7,9804.85,39.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5027.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5240.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1016.00 is outside the allowed range [80.00, 120.00]",FALSE,41,039SMPL.d,16/11/2023 13:04,Sample,,100 ppb check,48426.69,2.6,997681.26,1.8,1632384.77,2.5,40410.63,3.5,269436.16,2.1,136107.75,3,1184898.99,2.6,7755.96,6.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5238.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5433.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1109.07 is outside the allowed range [80.00, 120.00]",FALSE,42,040SMPL.d,16/11/2023 13:06,Sample,,0-50-B,137848.8,0.5,11448.25,4.5,3310391.72,1.2,85446.6,0.3,962.04,2.8,141805.27,2.9,1228359.36,2.3,8466.39,4.6
"56  Fe  [ He ] :  Concentration value = 11125.34 is over the calibration range57  Fe  [ He ] :  Concentration value = 10856.79 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5325.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5495.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1135.33 is outside the allowed range [80.00, 120.00]",FALSE,43,041SMPL.d,16/11/2023 13:07,Sample,,0-90-B,1046738.79,3,1303082.09,1.6,163574574.2,2.5,4026003.07,3,79350.57,3.4,144151.39,1.9,1242497.59,2,8666.91,6.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5310.04 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5550.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1152.34 is outside the allowed range [80.00, 120.00]",FALSE,44,042SMPL.d,16/11/2023 13:09,Sample,,20-40-T,161297.22,0.4,181331.42,2.2,13643520.63,1.2,352097.82,0.7,8579.91,2,143744.62,2.3,1254960.92,2.6,8796.77,3
"27  Al  [ He ] :  CPS RSD value = 17.60 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 19.13 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 19.60 is over the allowed maximum = 5.0075  As  [ He ] :  CPS RSD value = 19.56 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  CPS RSD value = 47.87 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5971.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 48.99 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6145.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 44.93 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1325.91 is outside the allowed range [80.00, 120.00]",FALSE,45,043SMPL.d,16/11/2023 13:11,Sample,,20-20-T,289197.51,17.6,2006588.36,3.9,23980995.06,19.1,616591.14,19.6,11757.64,19.6,161647.97,47.9,1389508.76,49,10121.76,44.9
