Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2882.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2970.87 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 597.55 is outside the allowed range [80.00, 120.00]",False,026SMPL.d,16/11/2023 12:30:51,Sample,,blk ,2.381,5.9,<0.000,N/A,2.481,5.7,2.797,2.9,0.002,75.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3023.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3111.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 591.79 is outside the allowed range [80.00, 120.00]",False,027SMPL.d,16/11/2023 12:32:32,Sample,,100 ppb check,107.961,1.3,110.899,1.3,106.403,2.1,106.353,1.9,96.093,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3163.18 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3278.17 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 805.30 is outside the allowed range [80.00, 120.00]",False,028SMPL.d,16/11/2023 12:34:08,Sample,,0-50-T,116.019,0.2,8.197,3.5,275.444,0.5,275.688,1.4,0.338,2.5,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3302.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3396.95 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 701.44 is outside the allowed range [80.00, 120.00]",False,029SMPL.d,16/11/2023 12:35:45,Sample,,0-60-B,218.389,0.3,2.711,6.6,106.846,0.4,107.336,1.3,0.574,1.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3444.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3578.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 752.54 is outside the allowed range [80.00, 120.00]",False,030SMPL.d,16/11/2023 12:37:22,Sample,,0-100-B,279.280,1.0,89.737,3.3,526.406,0.5,543.866,0.5,0.623,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3420.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3638.38 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 721.53 is outside the allowed range [80.00, 120.00]",False,031SMPL.d,16/11/2023 12:39:04,Sample,,0-70-B,67.991,1.7,3.019,3.4,30.536,4.3,31.423,3.7,0.237,4.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3707.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3799.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 782.70 is outside the allowed range [80.00, 120.00]",False,032SMPL.d,16/11/2023 12:40:42,Sample,,20-100-T,583.935,1.5,125.256,1.9,595.563,1.4,609.992,2.3,2.094,0.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3853.24 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3962.39 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 870.51 is outside the allowed range [80.00, 120.00]",False,033SMPL.d,16/11/2023 12:42:19,Sample,,20-80-T,509.665,0.3,27.151,3.2,630.541,1.1,650.935,0.9,1.976,0.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4028.42 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4159.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 908.52 is outside the allowed range [80.00, 120.00]",False,034SMPL.d,16/11/2023 12:43:56,Sample,,20-30-B,532.924,0.8,106.217,3.0,858.275,0.5,878.374,0.8,4.651,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4145.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4277.49 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.05 is outside the allowed range [80.00, 120.00]",False,035SMPL.d,16/11/2023 12:45:37,Sample,,20-70-T,492.096,0.3,111.795,1.8,815.007,0.8,834.151,0.5,1.388,1.4,,,,,,
