Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"27  Al  [ He ] :  Concentration value = 1732.27 is over the calibration range56  Fe  [ He ] :  Concentration value = 1095.97 is over the calibration range57  Fe  [ He ] :  Concentration value = 1105.22 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2874.67 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2937.20 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 647.29 is outside the allowed range [80.00, 120.00]",False,025SMPL.d,16/11/2023 12:29:15,Sample,,0-10-B,1732.265,0.7,148.667,1.9,1095.967,1.1,1105.216,1.1,3.766,2.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2882.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2970.87 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 597.55 is outside the allowed range [80.00, 120.00]",False,026SMPL.d,16/11/2023 12:30:51,Sample,,blk ,2.288,5.9,<0.000,N/A,2.550,5.7,2.809,2.9,0.002,75.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3023.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3111.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 591.79 is outside the allowed range [80.00, 120.00]",False,027SMPL.d,16/11/2023 12:32:32,Sample,,100 ppb check,103.752,1.3,108.390,1.3,109.375,2.1,106.833,1.9,101.892,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3163.18 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3278.17 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 805.30 is outside the allowed range [80.00, 120.00]",False,028SMPL.d,16/11/2023 12:34:08,Sample,,0-50-T,111.496,0.2,8.011,3.5,283.137,0.5,276.931,1.4,0.359,2.5,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3302.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3396.95 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 701.44 is outside the allowed range [80.00, 120.00]",False,029SMPL.d,16/11/2023 12:35:45,Sample,,0-60-B,209.874,0.3,2.650,6.6,109.830,0.4,107.820,1.3,0.609,1.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3444.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3578.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 752.54 is outside the allowed range [80.00, 120.00]",False,030SMPL.d,16/11/2023 12:37:22,Sample,,0-100-B,268.391,1.0,87.707,3.3,541.108,0.5,546.320,0.5,0.661,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3420.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3638.38 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 721.53 is outside the allowed range [80.00, 120.00]",False,031SMPL.d,16/11/2023 12:39:04,Sample,,0-70-B,65.340,1.7,2.951,3.4,31.389,4.3,31.565,3.7,0.251,4.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3707.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3799.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 782.70 is outside the allowed range [80.00, 120.00]",False,032SMPL.d,16/11/2023 12:40:42,Sample,,20-100-T,561.169,1.5,122.422,1.9,612.197,1.4,612.744,2.3,2.220,0.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3853.24 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 3962.39 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 870.51 is outside the allowed range [80.00, 120.00]",False,033SMPL.d,16/11/2023 12:42:19,Sample,,20-80-T,489.794,0.3,26.536,3.2,648.152,1.1,653.872,0.9,2.095,0.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4028.42 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4159.61 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 908.52 is outside the allowed range [80.00, 120.00]",False,034SMPL.d,16/11/2023 12:43:56,Sample,,20-30-B,512.147,0.8,103.814,3.0,882.246,0.5,882.337,0.8,4.931,1.5,,,,,,
