x,y,B_T,lat,lon,elev,sample_collect,moisture_content_wet_g_g,moisture_content_wet_%,OM_g,OM_%,MF_%,ph,ICP_dilution_factor,55_Mn_CPS,55_Mn_calc_conc_undil_ppb,55_Mn_meas_conc_undil_ppb,75_As_CPS,75_As_calc_conc_undil_ppb,75_As_meas_conc_undil_ppb,27_Al_CPS,27_Al_calc_conc_undil_ppb,27_Al_meas_conc_undil_ppb,56_Fe_CPS,56_Fe_calc_conc_undil_ppb,56_Fe_meas_conc_undil_ppb,57_Fe_CPS,57_Fe_calc_conc_undil_ppb,57_Fe_meas_conc_undil_ppb,IC_dilution_factor,peak_Cl_area_usmin,c_Cl_calc_undil_ppm,c_Cl_measure_undil_ppm,peak_Nitrite_area_usmin,c_Nitrite_calc_undil_ppm,c_Nitrite_measure_undil_ppm,peak_Nitrate_area_usmin,c_Nitrate_calc_undil_ppm,c_Nitrate_measure_undil_ppm,peak_SO4_area_usmin,c_SO4_calc_undil_ppm,c_SO4_measure_undil_ppm,254_fin_corr,365_fin_corr,E2_254_corr/E3_corr,undil_DOC_ABC_254_mg_L
10,10,B,55.250242,-4.484348,NA,1,0.4007,40.0732,0.0713,7.1294,92.8706,6.98,5,19527969.29,10812.53,10784.94,30868.39,59.03,NA,458195.19,5236.85,5364.03,58695175.79,22315.51,19952.36,1497035.86,22568.85,20175.37,5.0000,0.3706,8.1198,8.0250,NA,NA,NA,0.0287,NA,1.1680,0.0274,NA,NA,0.652,0.224,2.904,29.377
10,20,B,55.250151,-4.484407,NA,1,0.5370,53.7038,0.1161,11.6108,88.3892,5.30,5,4794726.80,2642.95,2647.45,8171.34,NA,NA,209916.93,2315.28,2447.39,17414355.16,6015.64,5910.83,442528.13,6045.76,5953.07,5.0000,0.3903,8.3046,7.4730,NA,NA,NA,0.2966,11.6818,12.6085,0.0339,2.0732,2.4465,0.567,0.194,2.920,9.189
10,30,B,55.25008698,-4.484520033,328.906189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,40,B,55.25002504,-4.484605026,341.684265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,50,B,55.24993904,-4.484660011,346.042572,1,0.8819,88.1942,0.4737,47.3730,52.6270,5.12,5,2866866.31,1573.95,1582.65,56806.76,109.42,110.27,468353.40,5356.38,5483.36,38082702.77,14176.61,12941.10,960077.72,14155.25,12933.34,5.0000,0.3403,NA,7.2415,NA,NA,NA,0.0115,NA,0.4205,0.0438,2.0849,NA,0.742,0.204,3.635,47.827
10,60,B,55.24982898,-4.484664034,346.106537,1,0.4847,48.4695,0.0995,9.9539,90.0461,4.96,5,1883667.26,1028.77,1039.61,117241.79,226.82,227.65,1166364.42,13570.08,13683.19,99513045.18,38432.58,33836.42,2508071.89,38410.78,33811.37,5.0000,0.3291,NA,NA,NA,NA,NA,0.0206,-0.1742,0.9190,0.0229,NA,NA,1.332,0.423,3.150,69.316
10,70,B,55.249717,-4.484717008,332.898682,1,0.6149,61.4924,0.1835,18.3531,81.6469,4.75,5,2409732.83,1320.47,1330.17,12412.71,NA,NA,265152.28,2965.25,3096.27,30061852.89,11009.55,10212.83,754974.68,10941.48,10167.08,5.0000,1.6297,39.4083,38.9530,0.0639,NA,NA,0.0352,0.4530,1.5365,0.1055,4.5894,4.9495,0.782,0.235,3.321,44.608
10,80,B,55.24966403,-4.484757995,325.217163,1,0.4799,47.9948,0.1087,10.8701,89.1299,6.10,5,12153659.82,6723.48,6711.95,36935.30,70.81,71.68,1114982.54,12965.46,13079.59,66905372.33,25557.33,22745.03,1708648.57,25884.61,23029.43,5.0000,0.1944,NA,NA,NA,NA,NA,0.2203,8.4043,9.3755,0.0605,3.0080,3.3775,0.979,0.304,3.216,52.952
10,90,B,55.24956403,-4.484838964,322.374023,1,0.3943,39.4347,0.0673,6.7276,93.2724,4.85,5,1121863.68,606.35,618.85,828.36,NA,NA,43674.40,359.06,494.47,1559635.29,-244.65,517.90,39381.31,-271.16,515.77,5.0000,0.4878,10.7514,9.9475,NA,NA,NA,0.2286,8.7608,9.7275,0.0451,2.4668,2.8380,0.140,0.029,4.871,4.680
10,100,B,55.24950301,-4.484860003,323.518585,1,0.4970,49.7046,0.1364,13.6362,86.3638,6.40,5,1251545.58,678.26,690.48,6778.29,NA,NA,231816.43,2572.98,2704.66,16679796.42,5725.60,5660.97,421290.85,5712.99,5666.64,5.0000,1.3182,31.5910,31.0415,0.1170,7.5266,8.4630,0.0850,2.5922,3.6460,0.1902,7.5661,7.9110,0.290,0.089,3.251,16.510
